mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4144679069519044,0.3338005067671291,0.08281807899475098,0.0066579584828127475,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6330275229357798,0.74235807860262,0.6948356807511737,0.6341463414634146,0.7031963470319634,0.6815127941569903,0.04229474382927483,12
1.708266830444336,0.029020072899144867,0.12275633811950684,0.01197411762745916,,2,5,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.6384976525821596,0.7510917030567685,0.6981132075471698,0.6372549019607843,0.6968325791855203,0.6843580088664805,0.04270850335557799,8
0.5579163074493408,0.02089066648311631,0.04871468544006348,0.0053558729574901594,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6388888888888888,0.7391304347826086,0.6602870813397129,0.625,0.7169811320754716,0.6760575074173364,0.04447475424831316,19
1.5013155937194824,0.39127378143367914,0.11400394439697266,0.030655224546000757,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6513761467889908,0.7174887892376681,0.6698113207547169,0.6634615384615384,0.7009345794392523,0.6806144749364333,0.024651299783317628,13
1.8545404911041259,0.30450212815515854,0.10772805213928223,0.0037262010297278423,10,1,2,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6481481481481481,0.7312775330396476,0.6666666666666666,0.6376811594202898,0.6854460093896714,0.6738439033328848,0.03302350464203103,24
0.5528234481811524,0.012338442222976063,0.04725766181945801,0.008411781756568091,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6488888888888888,0.7336244541484717,0.6816143497757847,0.6301369863013698,0.684931506849315,0.6758392371927661,0.035412341356403795,20
1.07857027053833,0.017544989026804497,0.0803762435913086,0.004795710700500891,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6311111111111111,0.7248908296943232,0.6844444444444444,0.6515837104072398,0.6820276497695853,0.6748115490853407,0.03194388798250199,21
2.2058928489685057,0.47521395162359537,0.14527902603149415,0.03316259503133159,10,1,5,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.64,0.7186147186147186,0.6844444444444444,0.6515837104072398,0.6880733944954128,0.6765432535923631,0.028013458602529843,17
0.5516670227050782,0.019129982179033528,0.04561548233032227,0.0032588510317375814,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6147186147186147,0.7196652719665272,0.6545454545454545,0.6228070175438597,0.6782608695652174,0.6579994456679347,0.03830630969184981,30
1.0633966445922851,0.019768835316439953,0.08271851539611816,0.010176543501988378,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6293103448275862,0.75,0.6576576576576577,0.62882096069869,0.672566371681416,0.66767106697307,0.04445933276312612,27
